"","valor_serie_retorno_eixo_x","frequencia_eixo_y","exponencial"
"101",0.01,0.9999,0.991967434858218
"102",0.06,0.9999,0.952762137376947
"103",0.11,0.9999,0.915106341720616
"104",0.16,0.936029032258064,0.878938807290131
"105",0.21,0.876720276497696,0.844200713884304
"106",0.26,0.872158064516129,0.810835566039036
"107",0.31,0.863033640552995,0.778789101147273
"108",0.36,0.831098156682028,0.748009201210321
"109",0.41,0.803724884792627,0.718445808076987
"110",0.46,0.776351612903226,0.690050842032707
"111",0.51,0.753540552995392,0.662778123606259
"112",0.56,0.744416129032258,0.636583298466887
"113",0.61,0.71248064516129,0.611423765289701
"114",0.66,0.666858525345622,0.587258606472035
"115",0.71,0.639485253456221,0.564048521588085
"116",0.76,0.621236405529954,0.541755763473608
"117",0.81,0.571052073732719,0.520344076836726
"118",0.86,0.548241013824885,0.499778639295002
"119",0.91,0.520867741935484,0.480026004742894
"120",0.96,0.484370046082949,0.46105404895749
"121",1.01,0.466121198156682,0.44283191735404
"122",1.06,0.438747926267281,0.425329974806351
"123",1.11,0.429623502304147,0.408519757450407
"124",1.16,0.41137465437788,0.392373926392849
"125",1.21,0.393125806451613,0.376866223249021
"126",1.26,0.370314746543779,0.361971427438276
"127",1.31,0.347503686635945,0.347665315167094
"128",1.36,0.333817050691244,0.333924620033293
"129",1.41,0.31100599078341,0.320726995187274
"130",1.46,0.301881566820277,0.308050976988765
"131",1.51,0.279070506912442,0.295875950099937
"132",1.56,0.269946082949309,0.284182113958149
"133",1.61,0.247135023041475,0.272950450573777
"134",1.66,0.238010599078341,0.262162693600766
"135",1.71,0.206075115207373,0.251801298629591
"136",1.76,0.19695069124424,0.241849414654332
"137",1.81,0.155890783410138,0.232290856667447
"138",1.86,0.146766359447005,0.223110079337666
"139",1.91,0.142204147465438,0.214292151728225
"140",1.96,0.128517511520737,0.205822733014285
"141",2.01,0.114830875576037,0.197688049160085
"142",2.06,0.11026866359447,0.189874870517864
"143",2.11,0.11026866359447,0.182370490312142
"144",2.16,0.11026866359447,0.175162703974363
"145",2.21,0.101144239631336,0.168239789294285
"146",2.26,0.0965820276497696,0.161590487355849
"147",2.31,0.0965820276497696,0.155203984226504
"148",2.36,0.0920198156682028,0.149069893370237
"149",2.41,0.0920198156682028,0.143178238755671
"150",2.46,0.0783331797235023,0.137519438631791
